"Freq [GHz]","re(Z(1,1)) [] - hsub='5mil'","re(Z(1,1)) [] - hsub='10mil'","re(Z(1,1)) [] - hsub='15mil'","re(Z(1,1)) [] - hsub='31mil'","re(Z(1,1)) [] - hsub='62mil'","im(Z(1,1)) [] - hsub='5mil'","im(Z(1,1)) [] - hsub='10mil'","im(Z(1,1)) [] - hsub='15mil'","im(Z(1,1)) [] - hsub='31mil'","im(Z(1,1)) [] - hsub='62mil'"
2.78,0.71062503869165,0.728453837094866,0.783852778757526,1.59683930413047,10.2204780581459,14.9367205711578,22.1546511237599,25.5206161371302,36.0643791598788,46.6746967963521
2.785,0.70604090561016,0.715999658966091,0.750241225648314,1.52923830233069,10.4565970745926,15.0936163792351,22.4859969159004,26.0539917265599,36.5610915297432,47.4007132537678
2.79,0.702423706694865,0.705059627532544,0.720024309495133,1.46366653889389,10.6891733775609,15.2487215334464,22.8077442346228,26.5703393530667,37.0626269196626,48.0945733137264
2.795,0.699749493056821,0.695434996888359,0.692702342584171,1.40021324138578,10.9187618757619,15.4021259081262,23.1207231373959,27.0715197060754,37.5686958942714,48.7593216235639
2.8,0.697996733048698,0.686952502415742,0.667869662870991,1.33895733991837,11.145865318655,15.5539152903557,23.4256803670941,27.5591227977079,38.0790331977145,49.3976845101122
2.805,0.697146109626582,0.679459839221902,0.645194392229328,1.27996838104246,11.3709409433038,15.7041716039625,23.7232920364955,28.0345178463205,38.5933962946628,50.0121120238391
2.81,0.69718034071738,0.672822076916348,0.624403308675265,1.22330738165939,11.5944061787149,15.8529731231822,24.0141741790934,28.498892295269,39.1115640015324,50.6048136240355
2.815,0.698084019773096,0.666918797486694,0.605270391070907,1.1690276250885,11.8166435579352,16.0003946760941,24.2988916024594,28.9532826633282,39.6333352042166,51.177788603794
2.82,0.69984347408984,0.661641797805074,0.587608038365304,1.11717540173173,12.0380049616591,16.1465078380402,24.5779653832243,29.3985991816756,40.1585276585798,51.73285214245
2.825,0.702446638804882,0.656893238096645,0.571260262064132,1.06779069698423,12.2588152956511,16.2913811153099,24.8518792697033,29.8356456526696,40.6869768699496,52.2716577066456
2.83,0.705882944770783,0.652584146975583,0.556097352200587,1.02090782916917,12.4793756868733,16.4350801194246,25.1210852028518,30.2651355965453,41.218535047882,52.7957163890022
2.835,0.710143218749151,0.648633215461841,0.542011656108808,0.976556040338829,12.6999662690012,16.5776677323928,25.3860081240123,30.6877054866907,41.7530701325369,53.306413667883
2.84,0.715219594574193,0.644965828857607,0.528914206519061,0.934760042800849,12.9208486163878,16.7192042633275,25.6470502054908,31.1039256810056,42.2904648891007,53.8050239870345
2.845,0.72110543411544,0.641513297991299,0.516732004351889,0.895540524200623,13.142267875966,16.8597475968322,25.9045946149841,31.5143095147459,42.8306160668082,54.2927234855619
2.85,0.727795257021302,0.638212261199743,0.505405810946103,0.85891461393906,13.3644546386894,16.9993533335666,26.1590089055068,31.9193209146412,43.3734336192464,54.7706011532881
2.855,0.735284678358275,0.635004236296844,0.494888340235915,0.824896313624244,13.5876265855638,17.1380749234002,26.4106481074331,32.3193808148074,43.91883998277,55.2396686414054
2.86,0.743570353373976,0.631835308248139,0.485142767603619,0.79349689416257,13.8119899378743,17.2759637915589,26.6598575876171,32.7148725949486,44.4667694100083,55.7008689213913
2.865,0.752649928711743,0.628655943774221,0.476141491526408,0.764725261988411,14.0377407366602,17.4130694581586,26.9069757315509,33.1061467154877,45.0171673556039,56.155083954803
2.87,0.762521999490416,0.62542092898425,0.467865098618607,0.738588296818227,14.2650659726681,17.5494396515106,27.1523364976282,33.4935246889454,45.569989911484,56.6031415115181
2.875,0.773186071737964,0.622089430677832,0.460301493580422,0.715091163197038,14.4941445847881,17.685120415567,27.396271887388,33.8773024994882,46.1252032891298,57.0458212532393
2.88,0.784642529733543,0.618625186389102,0.453445163854008,0.694237597987473,14.7251483422549,17.820156211864,27.6391143717942,34.257753561133,46.6827833464727,57.483860181835
2.885,0.796892607869872,0.614996832804346,0.447296555133681,0.6760301758323,14.9582426235621,17.9545900163023,27.881199310942,34.635131288239,47.2427151572114,57.9179575376927
2.89,0.809938366699261,0.611178387081381,0.441861538774389,0.660470554506564,15.1935871030599,18.0884634110911,28.1228674028545,35.0096713385481,47.8049926205018,58.3487792212238
2.895,0.823782672871155,0.607149901062169,0.437150955946735,0.647559701963288,15.4313363544804,18.2218166721651,28.3644671961164,35.3815935783855,48.3696181091387,58.7769618005439
2.9,0.838429182709484,0.602898314649604,0.433180226364142,0.637298106768921,15.6716403791607,18.3546888523685,28.6063577008308,35.7511038110844,48.9366021544987,59.2031161598376
2.905,0.853882329213396,0.598418542001966,0.429969011751584,0.629685973523201,15.9146450654243,18.4871178606875,28.8489111326765,36.1183953028071,49.5059631666742,59.6278308357329
2.91,0.870147312297772,0.593714833024702,0.427540926083682,0.62472340476122,16.1604925844435,18.619140537794,29.0925158255464,36.4836501343458,50.0777271883797,60.0516750829204
2.915,0.887230092118304,0.588802463318473,0.42592328610113,0.622410570746617,16.4093217268809,18.7507927281531,29.3375793492184,36.8470404029316,50.6519276813634,60.4752017050955
2.92,0.905137385352585,0.583709818778164,0.42514689680371,0.622747868480142,16.6612681836898,18.8821093489306,29.5845318695459,37.2087292943474,51.2286053442057,60.8989496829099
2.925,0.923876664333068,0.578480957050979,0.425245867577216,0.625736071171296,16.916464773614,19.0131244559267,29.8338297894996,37.5688720425728,51.8078079605322,61.3234466268796
2.93,0.943456158949356,0.573178747820051,0.426257455391157,0.63137646935139,17.1750416191515,19.1438713067461,30.0859597096497,37.9276167916528,52.3895902768197,61.7492110800092
2.935,0.963884861258851,0.567888718340466,0.428221932140901,0.639671004741231,17.4371262720158,19.2743824214062,30.3414427458139,38.2851053723755,52.9740139091135,62.1767546921561
2.94,0.985172532763665,0.562723760996521,0.431182473731321,0.650622397931391,17.7028437884305,19.4046896405724,30.6008392388048,38.6414740045964,53.5611472781259,62.6065842858322
2.945,1.00732971433041,0.557829897333171,0.435185068934066,0.66423427088174,17.9723167539169,19.5348241815996,30.8647538853416,38.9968539345785,54.1510655723286,63.0392038311268
2.95,1.03036773874697,0.55339333982398,0.440278446411095,0.680511265204685,18.2456652565645,19.6648166925485,31.1338413085816,39.3513720154924,54.743850738803,63.4751163457188
2.955,1.05429874592764,0.549649150734253,0.446514018604246,0.699459157158214,18.5230068071002,19.7946973043365,31.4088120689464,39.7051512381915,55.3395915017627,63.9148257344612
2.96,1.07913570079444,0.546891869389164,0.453945841448116,0.721084970246669,18.8044562033906,19.9244956811736,31.6904390875135,40.0583112185064,55.9383834088172,64.3588385817403
2.965,1.10489241387903,0.54548856793234,0.462630589087817,0.745397086302541,19.090125336299,20.0542410694255,31.9795644101994,40.4109686465718,56.5403289052056,64.8076659087034
2.97,1.13158356470595,0.545894904555111,0.472627542976745,0.772405355906571,19.3801229330785,20.183962345038,32.2771061741467,40.7632377030834,57.1455374363964,65.2618249064802
2.975,1.15922472803456,0.548674875564627,0.483998594901576,0.802121208994858,19.6745542336948,20.3136880596494,32.5840655379271,41.1152304468577,57.7541255796205,65.7218406556747
2.98,1.18783240305363,0.554525126499124,0.496808263635687,0.834557766497663,19.9735205946317,20.4434464855094,32.9015331899072,41.4670571776328,58.3662172050895,66.1882478416506
2.985,1.21742404564012,0.564304869340522,0.511123725063774,0.869729953862552,20.2771190138239,20.5732656593172,33.230694833934,41.8188267776757,58.9819436678427,66.6615924744501
2.99,1.24801810381113,0.579072666049667,0.527014855752292,0.907654617325485,20.5854415693813,20.7031734250838,33.572834739708,42.1706470354578,59.601444031373,67.1424336215615
2.995,1.27963405651694,0.60013157008526,0.54455429006656,0.948350643816023,20.8985747636919,20.8331974761172,33.9293359971112,42.5226249544034,60.2248653244037,67.6313451611548
3,1.31229245594243,0.629084347326465,0.563817491057964,0.991839085414298,21.2165987633196,20.9633653962218,34.3016754751114,42.8748670495101,60.8523628324256,68.1289175628278
3.005,1.34601497350487,0.615702522631347,0.584882835468014,1.03814328931553,21.5395865238208,21.0937047001983,34.4614252611531,43.2274796344712,61.4841004258617,68.6357597023142
3.01,1.3808244497579,0.602764478195836,0.607831713320177,1.08728903431104,21.8676027871864,21.2242428737225,34.6235883695029,43.5805691018077,62.1202509270118,69.1525007159876
3.015,1.41674494843513,0.590294783711682,0.632748642700859,1.1393046748551,22.2007029380497,21.3550074126752,34.7882651698751,43.934242198419,62.7609965182344,69.6797919003268
3.02,1.45380181489196,0.578320180138725,0.65972140046699,1.1942212938638,22.5389317030761,21.4860258619879,34.9555619246372,44.2886062989058,63.4065291941657,70.2183086607461
3.025,1.49202173923071,0.566869804870538,0.688841169765912,1.25207286548006,22.8823216760487,21.6173258540622,35.1255912236392,44.6437696789871,64.0570512611493,70.7687525133313
3.03,1.53143282442436,0.555975443600793,0.72020270541174,1.3128964291466,23.2308916490647,21.748935146814,35.2984724575815,44.9998417913376,64.7127758874689,71.3318531420025
3.035,1.57206465978517,0.545671812481815,0.753904518339179,1.37673227645019,23.5846447279494,21.8808816613824,35.4743323338793,45.3569335462023,65.3739277084362,71.9083705124141
3.04,1.613948400159,0.535996874708926,0.79004908055025,1.44362415234787,23.9435662074541,22.0131935195367,35.6533054394424,45.715157599211,66.0407434909072,72.4990970424595
3.045,1.65711685126399,0.526992196297778,0.828743052187882,1.51361947255131,24.3076211790185,22.1458990808052,35.8355348553015,46.0746286489097,66.7134728623757,73.1048598275026
3.05,1.70160456163305,0.518703346563254,0.87009753261671,1.58676955904404,24.6767518408305,22.2790269793348,36.0211728285958,46.4354637466562,67.3923791104495,73.7265229163581
3.055,1.74744792166436,0.511180349678444,0.914228337669519,1.66312989593063,25.0508744765942,22.4126061604829,36.2103815080912,46.7977826216952,68.0777400592399,74.3649896315033
3.06,1.79468527033334,0.504478194715203,0.961256305536865,1.74276040808255,25.429876065814,22.5466659171255,36.403333750138,47.1617080244336,68.769849030033,75.0212049239403
3.065,1.84335701017365,0.498657412772166,1.01130763413983,1.82572576534918,25.8136104845107,22.6812359256503,36.6002140028114,47.5273660911873,69.4690158945423,75.6961577494295
3.07,1.89350573119341,0.49378473122071,1.06451425324519,1.91209571545978,26.2018942511142,22.8163462815861,36.801219276922,47.8948867339717,70.1755682301093,76.3908834483671
