x[m],y[m],|B|
-0.0195959595959596,0.005,1.36670489899785e-06
-0.0195959595959596,0.005,1.43802946521158e-06
-0.0195959595959596,0.005,1.50990425305359e-06
-0.0195959595959596,0.005,1.58187434841442e-06
-0.0195959595959596,0.005,1.65345121192781e-06
-0.0195959595959596,0.005,1.72411726913151e-06
-0.0195959595959596,0.005,1.79333176418201e-06
-0.0195959595959596,0.005,1.86053785584559e-06
-0.0195959595959596,0.005,1.92517087753859e-06
-0.0195959595959596,0.005,1.9866676219038e-06
-0.0195959595959596,0.005,2.04447644794841e-06
-0.0195959595959596,0.005,2.09806794897004e-06
-0.0195959595959596,0.005,2.14694586663209e-06
-0.0195959595959596,0.005,2.1906578949763e-06
-0.0195959595959596,0.005,2.22880599191675e-06
-0.0195959595959596,0.005,2.26105580812859e-06
-0.0195959595959596,0.005,2.28714485634521e-06
-0.0195959595959596,0.005,2.30688907854879e-06
-0.0195959595959596,0.005,2.3201875233546e-06
-0.0195959595959596,0.005,2.32702491835243e-06
-0.0195959595959596,0.005,2.32747200809545e-06
-0.0195959595959596,0.005,2.32168362249915e-06
-0.0195959595959596,0.005,2.30989453667019e-06
-0.0195959595959596,0.005,2.29241327558177e-06
-0.0195959595959596,0.005,2.26961409997155e-06
-0.0195959595959596,0.005,2.24192747873666e-06
-0.0195959595959596,0.005,2.20982940460492e-06
-0.0195959595959596,0.005,2.1738299421145e-06
-0.0195959595959596,0.005,2.13446140954185e-06
-0.0195959595959596,0.005,2.09226659030014e-06
-0.0195959595959596,0.005,2.04778734643839e-06
-0.0195959595959596,0.005,2.00155396985884e-06
-0.0195959595959596,0.005,1.95407555875269e-06
-0.0195959595959596,0.005,1.90583165062681e-06
-0.0195959595959596,0.005,1.85726528212544e-06
-0.0195959595959596,0.005,1.8087775823844e-06
-0.0195959595959596,0.005,1.76072394338881e-06
-0.0195959595959596,0.005,1.7134117500405e-06
-0.0195959595959596,0.005,1.66709959653365e-06
-0.0195959595959596,0.005,1.6219978662298e-06
-0.0195959595959596,0.005,1.5782705114006e-06
-0.0195959595959596,0.005,1.53603783858109e-06
-0.0195959595959596,0.005,1.49538008601186e-06
-0.0195959595959596,0.005,1.45634157226145e-06
-0.0195959595959596,0.005,1.41893519933535e-06
-0.0195959595959596,0.005,1.38314710826232e-06
-0.0195959595959596,0.005,1.34894130839333e-06
-0.0195959595959596,0.005,1.31626413096518e-06
-0.0195959595959596,0.005,1.28504839009961e-06
-0.0195959595959596,0.005,1.25521716760906e-06
-0.0195959595959596,0.005,1.22668716939158e-06
-0.0195959595959596,0.005,1.19937162901413e-06
-0.0195959595959596,0.005,1.17318275717298e-06
-0.0195959595959596,0.005,1.14803375361113e-06
-0.0195959595959596,0.005,1.12384041086122e-06
-0.0195959595959596,0.005,1.10052234737452e-06
-0.0195959595959596,0.005,1.07800391194809e-06
-0.0195959595959596,0.005,1.05621480271651e-06
-0.0195959595959596,0.005,1.03509044315387e-06
-0.0195959595959596,0.005,1.01457215525241e-06
-0.0195959595959596,0.005,9.94607166884535e-07
-0.0195959595959596,0.005,9.75148486747508e-07
-0.0195959595959596,0.005,9.56154676534937e-07
-0.0195959595959596,0.005,9.3758954627178e-07
-0.0195959595959596,0.005,9.19421795205376e-07
-0.0195959595959596,0.005,9.01624617327252e-07
-0.0195959595959596,0.005,8.84175287538412e-07
-0.0195959595959596,0.005,8.67054741675508e-07
-0.0195959595959596,0.005,8.50247161087721e-07
-0.0195959595959596,0.005,8.33739570190791e-07
-0.0195959595959596,0.005,8.17521453419639e-07
-0.0195959595959596,0.005,8.01584396246654e-07
-0.0195959595959596,0.005,7.85921753419705e-07
-0.0195959595959596,0.005,7.70528346290719e-07
