x[m],z[m],|B|
0.00343434343434343,-0.005,3.66740982314299e-05
0.00383838383838384,-0.005,3.74616298291537e-05
0.00424242424242424,-0.005,3.77353434003644e-05
0.00464646464646465,-0.005,3.73881669052404e-05
0.00505050505050505,-0.005,3.63768095969655e-05
0.00545454545454545,-0.005,3.47363029086516e-05
0.00585858585858586,-0.005,3.25772459244297e-05
0.00626262626262626,-0.005,3.00651122654649e-05
0.00666666666666667,-0.005,2.73877272613247e-05
0.00707070707070707,-0.005,2.47214435744693e-05
0.00747474747474748,-0.005,2.22064935051686e-05
0.00787878787878788,-0.005,1.99374471345483e-05
0.00828282828282828,-0.005,1.79673813319151e-05
0.00868686868686869,-0.005,1.63176577322291e-05
0.00909090909090909,-0.005,1.49837340478679e-05
0.0094949494949495,-0.005,1.39338532168181e-05
0.0098989898989899,-0.005,1.31075071429445e-05
0.0103030303030303,-0.005,1.24236221957872e-05
0.0107070707070707,-0.005,1.17994840140932e-05
0.0111111111111111,-0.005,1.11706514648739e-05
0.0115151515151515,-0.005,1.05016716470111e-05
0.0119191919191919,-0.005,9.78520536536332e-06
0.0123232323232323,-0.005,9.03374349583701e-06
0.0127272727272727,-0.005,8.26949650480362e-06
0.0131313131313131,-0.005,7.51616902633928e-06
0.0135353535353535,-0.005,6.79392626504231e-06
0.0139393939393939,-0.005,6.11726154807829e-06
0.0143434343434343,-0.005,5.49483859250759e-06
0.0147474747474747,-0.005,4.93037457990176e-06
0.0151515151515152,-0.005,4.42388508221234e-06
0.0155555555555556,-0.005,3.97289674816373e-06
0.015959595959596,-0.005,3.5734503707236e-06
0.0163636363636364,-0.005,3.22084951435502e-06
0.0167676767676768,-0.005,2.91017637727972e-06
0.0171717171717172,-0.005,2.63662140067603e-06
0.0175757575757576,-0.005,2.39567585082784e-06
0.017979797979798,-0.005,2.18322972691705e-06
0.0183838383838384,-0.005,1.99560776403733e-06
0.0187878787878788,-0.005,1.82956722543483e-06
0.0191919191919192,-0.005,1.68227378015189e-06
0.0195959595959596,-0.005,1.55126621091321e-06
0.02,-0.005,1.43441675077046e-06
-0.02,-0.00447368421052632,1.99793053779932e-06
-0.0195959595959596,-0.00447368421052632,2.11191830221408e-06
-0.0191919191919192,-0.00447368421052632,2.2342311675377e-06
-0.0187878787878788,-0.00447368421052632,2.36557140984447e-06
-0.0183838383838384,-0.00447368421052632,2.50670219192882e-06
-0.017979797979798,-0.00447368421052632,2.65845161943956e-06
-0.0175757575757576,-0.00447368421052632,2.82171656836538e-06
-0.0171717171717172,-0.00447368421052632,2.99746607674956e-06
-0.0167676767676768,-0.00447368421052632,3.18674402707559e-06
-0.0163636363636364,-0.00447368421052632,3.39067076490652e-06
-0.015959595959596,-0.00447368421052632,3.6104432034115e-06
-0.0155555555555556,-0.00447368421052632,3.84733285336732e-06
-0.0151515151515152,-0.00447368421052632,4.10268109804356e-06
-0.0147474747474747,-0.00447368421052632,4.37789091098759e-06
-0.0143434343434343,-0.00447368421052632,4.67441410886151e-06
-0.0139393939393939,-0.00447368421052632,4.9937331696478e-06
-0.0135353535353535,-0.00447368421052632,5.33733667403612e-06
-0.0131313131313131,-0.00447368421052632,5.70668761251705e-06
-0.0127272727272727,-0.00447368421052632,6.10318423838439e-06
-0.0123232323232323,-0.00447368421052632,6.52811396295963e-06
-0.0119191919191919,-0.00447368421052632,6.98260213178234e-06
-0.0115151515151515,-0.00447368421052632,7.46755953286387e-06
-0.0111111111111111,-0.00447368421052632,7.98363524771525e-06
-0.0107070707070707,-0.00447368421052632,8.53118485533505e-06
-0.0103030303030303,-0.00447368421052632,9.11026755125687e-06
-0.0098989898989899,-0.00447368421052632,9.72068830759602e-06
-0.0094949494949495,-0.00447368421052632,1.03621006902421e-05
-0.00909090909090909,-0.00447368421052632,1.10341792114715e-05
-0.00868686868686869,-0.00447368421052632,1.17368533441186e-05
-0.00828282828282828,-0.00447368421052632,1.24705657389224e-05
-0.00787878787878788,-0.00447368421052632,1.32364762222967e-05
-0.00747474747474748,-0.00447368421052632,1.40364912006328e-05
-0.00707070707070707,-0.00447368421052632,1.48729779667631e-05
-0.00666666666666667,-0.00447368421052632,1.57480570114445e-05
-0.00626262626262626,-0.00447368421052632,1.66624776529401e-05
-0.00585858585858586,-0.00447368421052632,1.76142634614917e-05
