y[m],z[m],|B|
-0.000202020202020202,-0.00447368421052632,4.07378576776069e-06
-0.000202020202020202,-0.00447368421052632,4.39722161735534e-06
-0.000202020202020202,-0.00447368421052632,4.75520148384811e-06
-0.000202020202020202,-0.00447368421052632,5.15198822315139e-06
-0.000202020202020202,-0.00447368421052632,5.59237505601135e-06
-0.000202020202020202,-0.00447368421052632,6.08173232949527e-06
-0.000202020202020202,-0.00447368421052632,6.62604755950461e-06
-0.000202020202020202,-0.00447368421052632,7.23195213998407e-06
-0.000202020202020202,-0.00447368421052632,7.90672505427312e-06
-0.000202020202020202,-0.00447368421052632,8.65825980679862e-06
-0.000202020202020202,-0.00447368421052632,9.494975374789e-06
-0.000202020202020202,-0.00447368421052632,1.04256450760225e-05
-0.000202020202020202,-0.00447368421052632,1.14591088351141e-05
-0.000202020202020202,-0.00447368421052632,1.2603824736727e-05
-0.000202020202020202,-0.00447368421052632,1.38672059859021e-05
-0.000202020202020202,-0.00447368421052632,1.52546816357646e-05
-0.000202020202020202,-0.00447368421052632,1.67684177518333e-05
-0.000202020202020202,-0.00447368421052632,1.84056468652034e-05
-0.000202020202020202,-0.00447368421052632,2.01565879896765e-05
-0.000202020202020202,-0.00447368421052632,2.20020112603933e-05
-0.000202020202020202,-0.00447368421052632,2.39106266416785e-05
-0.000202020202020202,-0.00447368421052632,2.5836667997852e-05
-0.000202020202020202,-0.00447368421052632,2.77182992998472e-05
-0.000202020202020202,-0.00447368421052632,2.94777492012345e-05
-0.000202020202020202,-0.00447368421052632,3.10242801493522e-05
-0.000202020202020202,-0.00447368421052632,3.2261035065591e-05
-0.000202020202020202,-0.00447368421052632,3.30962481907278e-05
-0.000202020202020202,-0.00447368421052632,3.34581120926591e-05
-0.000202020202020202,-0.00447368421052632,3.3310930483686e-05
-0.000202020202020202,-0.00447368421052632,3.2668716956959e-05
-0.000202020202020202,-0.00447368421052632,3.16020867385275e-05
-0.000202020202020202,-0.00447368421052632,3.0235693656458e-05
-0.000202020202020202,-0.00447368421052632,2.87359883022841e-05
-0.000202020202020202,-0.00447368421052632,2.72911284389948e-05
-0.000202020202020202,-0.00447368421052632,2.60854234445857e-05
-0.000202020202020202,-0.00447368421052632,2.52709566428536e-05
-0.000202020202020202,-0.00447368421052632,2.49416137555814e-05
-0.000202020202020202,-0.00447368421052632,2.51187952360865e-05
-0.000202020202020202,-0.00447368421052632,2.57566868620262e-05
-0.000202020202020202,-0.00447368421052632,2.67646671071436e-05
-0.000202020202020202,-0.00447368421052632,2.8034697995919e-05
-0.000202020202020202,-0.00447368421052632,2.94623249277445e-05
-0.000202020202020202,-0.00447368421052632,3.0957534282073e-05
-0.000202020202020202,-0.00447368421052632,3.24474615137107e-05
-0.000202020202020202,-0.00447368421052632,3.38743166683078e-05
-0.000202020202020202,-0.00447368421052632,3.51910787314695e-05
-0.000202020202020202,-0.00447368421052632,3.63565380508458e-05
-0.000202020202020202,-0.00447368421052632,3.73307690550097e-05
