"Freq [GHz]","re(Z(1,1)) [] - hsub='5mil'","re(Z(1,1)) [] - hsub='10mil'","re(Z(1,1)) [] - hsub='15mil'","re(Z(1,1)) [] - hsub='31mil'","re(Z(1,1)) [] - hsub='62mil'","im(Z(1,1)) [] - hsub='5mil'","im(Z(1,1)) [] - hsub='10mil'","im(Z(1,1)) [] - hsub='15mil'","im(Z(1,1)) [] - hsub='31mil'","im(Z(1,1)) [] - hsub='62mil'"
9.17,2.64049382090724,2.66670726446924,4.73054654723525,11.1917401478504,27.2768471268927,58.4409716532352,85.8989764714811,102.32318340783,141.033191233227,172.494328859014
9.175,2.57779897940503,2.40711552191078,4.37987955045223,10.8220433538719,26.2074749349043,58.5387175854146,86.2918765564702,103.104643416086,141.612788729876,172.910575158961
9.18,2.51709068056991,2.17910004756565,4.08786556048415,10.4579651894275,25.1636258673148,58.6368635328579,86.6953763418561,103.889254961632,142.19912006719,173.372778847592
9.185,2.45831314974154,1.9815720264497,3.84773647804739,10.0996721064339,24.1436281907943,58.7353682095568,87.1073215010195,104.667978664342,142.79222480823,173.881149705075
9.19,2.40141175308213,1.81347948871915,3.65233010314978,9.74733421176118,23.1461098427377,58.8341964224416,87.5258529507274,105.434256435603,143.392139764083,174.435800488296
9.195,2.34633328547549,1.67384378160561,3.49464772830371,9.40112528643476,22.1699751123341,58.9333187459571,87.9493620876337,106.18360419775,143.998898842883,175.036771284753
9.2,2.29302621998201,1.56178830617409,3.36819510441176,9.06122280084967,21.2143828458919,59.0327112071307,88.3764457206925,106.913181517418,144.612532894159,175.684048205637
9.205,2.24144092289431,1.47656073608193,3.26715988197671,8.7278079257053,20.2787263449034,59.1323549834599,88.80586077059,107.621394157603,145.233069548516,176.377577416759
9.21,2.19152983826259,1.41754958831719,3.18647606397591,8.40106553836257,19.3626150039662,59.2322361154459,89.2364784367707,108.307555582045,145.860533052645,177.117275341031
9.215,2.14324764555934,1.38429561173724,3.12181670727044,8.081184224312,18.4658576536349,59.3323452351663,89.667237250879,108.971614240099,146.49494409967,177.903035723231
9.22,2.09655139393855,1.37649799137407,3.06954537431683,7.76835627343105,17.5884475198303,59.4326773119122,90.0970942387124,109.613942813671,147.13631965487,178.734734125936
9.225,2.05140061632259,1.39401482017683,3.02664726636715,7.46277767069949,16.7305486784777,59.5332314156077,90.5249733105254,110.235180774198,147.784672776802,179.612230323091
