"Freq [GHz]","re(Z(1,1)) [] - Cu_h='17.5um' hsub='5mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='10mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='31mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='62mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='5mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='10mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='31mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='62mil'"
9.695,17.3393221269384,20.2931115097575,39.0819934309965,99.1121499158701,60.342004349555,138.0240181249,236.347856092853,292.870083375116
9.7,16.6490444774537,23.4573981132673,40.8539943450888,100.978262699408,59.4226945009749,140.826462398328,237.123268673588,292.183211832673
9.705,15.8180685659031,27.7965641112143,42.6565233674078,102.815833385532,58.627167892657,143.829263710093,237.841199196315,291.447811421026
9.71,14.8714070151639,33.9276692569127,44.4866636857564,104.623486559162,57.9847774518249,146.695652522695,238.500204176238,290.665600131104
9.715,13.8416642873178,42.650818711814,46.3414209579186,106.399952303962,57.5180979463116,148.388657095052,239.09903261796,289.838331153761
9.72,12.7665767746868,54.1381508347579,48.2177384537638,108.144065911708,57.2406836734499,146.345774493371,239.636630835118,288.967785853875
9.725,11.6858640002185,64.937215638517,50.1125125621291,109.854767107672,57.1559210038852,136.989861949653,240.112145861484,288.055766959567
9.73,10.6379398872034,67.0833604739236,52.0226085063031,111.531098825304,57.2571575377875,122.770850804664,240.524927422243,287.10409199863
9.735,9.65703828652188,60.6717640691365,53.9448761096475,113.172205565212,57.5289993072176,114.221546569424,240.874528454245,286.114587009958
9.74,8.77116071740519,54.8240186194972,55.8761654534878,114.777331374534,57.9494310240748,113.859892521733,241.160704184248,285.089080553512
9.745,8.0010230257928,53.7292419433973,57.8133422728402,116.34581748354,58.4923020270937,116.959039177408,241.383409793793,284.029398038152
9.75,7.35994879941131,57.1761393984547,59.7533029416537,117.877099636462,59.1297438335607,119.887711484202,241.542796718191,282.937356382624
9.755,6.85449729490331,64.1505465162066,61.6929889078655,119.370705153388,59.8342044070989,120.561683156238,241.639207644597,281.814759021054
9.76,6.48554658532371,73.3425174088675,63.6294004493908,120.826249759493,60.5799386938149,117.281153636161,241.673170290065,280.663391260635
9.765,6.24956529259898,82.4866731574844,65.5596096349264,122.243434216956,61.3439328985395,108.643130558977,241.645390054445,279.485015995723
9.77,6.13986647919211,88.1047200000168,67.4807723877101,123.622040793739,62.1063337604883,94.7042634833124,241.556741654861,278.281369779361
9.775,6.14771258251803,87.0451790996529,69.3901395659104,124.961929601971,62.8504996386314,78.3038131589515,241.408259858007,277.054159250315
9.78,6.26320826910934,79.1284067493563,71.2850669895526,126.263034837049,63.5627978417692,64.0081141306832,241.201129433709,275.805057911047
9.785,6.47596830025197,67.3281373507811,73.163024360608,127.525360946741,64.2322572910971,54.8548066609091,240.936674457876,274.53570324974
9.79,6.77557848650387,55.0831514277777,75.0216030395846,128.748978757697,64.8501604926203,50.9333058463847,240.616347095356,273.247694197349
9.795,7.15188296601404,44.3724146900089,76.858522658381,129.934021584733,65.4096328521917,50.7166049311812,240.241715993219,271.94258890893
9.8,7.59513530052174,35.7561861961315,78.671636564946,131.08068134621,65.9052652808019,52.599143580377,239.814454412949,270.621902856952
9.805,8.09604878402478,29.0783692040957,80.4589361101665,132.189204706731,66.3327894241959,55.467457799608,239.336328225926,269.287107223062
9.81,8.64577629647424,23.9670681720423,82.2185538011342,133.259889266317,66.6888135273792,58.6800163322422,238.809183890834,267.939627573766
9.815,9.23584419199681,20.0537768930853,83.948765357332,134.293079813157,66.9706199244472,61.9061017713971,238.234936524345,266.580842804761
9.82,9.8580592997147,17.0385055543456,85.6479907172291,135.289164655022,67.1760212447075,64.9918445999694,237.615558167909,265.212084338042
9.825,10.5044036789455,14.6944623354754,87.3147940521015,136.248572042517,67.3032705730993,67.8768472044759,236.953066344056,263.834635555654
9.83,11.1669284451628,12.8551387947671,88.9478828516636,137.17176669545,67.3510201416335,70.5476890528147,236.249512985424,262.449731453705
9.835,11.8376556804827,11.3994181765141,90.5461061522158,138.05924644188,67.3183230314593,73.013281691063,235.506973809151,261.058558500319
9.84,12.508495965189,10.2391914211713,92.1084519825597,138.911538977692,67.2046723983354,75.2921814101837,234.727538198477,259.662254681325
9.845,13.171188170943,9.31009090363116,93.6340441059647,139.729198753025,67.0100726153579,77.4062267209489,233.913299642623,258.261909717735
9.85,13.8172675818451,8.56484790644733,95.1221381380632,140.512803990424,66.7351362908374,79.3774676330014,233.066346775468,256.858565439471
9.855,14.4380678942429,7.96861351599032,96.5721171208576,141.262953838239,66.3812002975702,81.2267893049477,232.188755043388,255.453216300227
9.86,15.0247619349732,7.49568290454589,97.9834866321256,141.980265661594,65.9504527615159,82.9733952046574,231.282579022986,254.046810018934
9.865,15.5684447952437,7.12720639470598,99.3558695075977,142.665372472144,65.4460615097986,84.6347144385622,230.349845400465,252.640248333875
9.87,16.0602613094442,6.84959377179107,100.689000250466,143.318920496815,64.8722929664629,86.2265065147789,229.392546616139,251.234387856142
9.875,16.4915772935234,6.65341027035377,101.982719199219,143.941566884868,64.2346091921922,87.7630456308205,228.412635170131,249.830041009848
9.88,16.8541906867832,6.53262781062899,103.236966520668,144.533977551827,63.5397300424993,89.2573230311794,227.412018578672,248.427977047172
9.885,17.1405748554991,6.48414033545809,104.451776090388,145.096825158121,62.7956476488555,90.7212345965121,226.392554964662,247.02892312708
9.89,17.344142135406,6.50748350830843,105.6272693179,145.630787219691,62.0115819568033,92.165734252348,225.35604926117,245.633565447267
9.895,17.4595117071705,6.60472099462816,106.763648968744,146.136544347344,61.1978691161447,93.6009384392571,224.304250002499,244.242550419602
9.9,17.4827627411865,6.78047502232715,107.861193030364,146.614778611135,60.3657791371272,95.0361658359377,223.238846674057,242.856485880102
9.905,17.4116520826201,7.04208965436407,108.920248663493,147.066172025803,59.5272651515847,96.4798909378133,222.16146758973,241.475942325113
9.91,17.2457761497664,7.3999218735156,109.941226275548,147.491405152907,58.6946532919328,97.9395799484752,221.073678263545,240.101454166122
9.915,16.9866595224176,7.86775766143605,110.924593747524,147.891155815173,57.8802888018872,99.4213618998075,219.976980241147,238.733520996252
