f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
13571000	23	291	269848	-3419303
13581000	23	290	269178	-3422792
13591000	22	293	251685	-3399988
13601000	21	293	244498	-3400853
13611000	21	292	241299	-3404310
13621000	23	293	263991	-3396630
13631000	21	293	243132	-3394076
13641000	20	295	230438	-3373456
13651000	26	293	303437	-3386469
13661000	20	296	232430	-3364316
13671000	20	296	228657	-3364869
13681000	20	294	232594	-3390741
13691000	19	295	219228	-3371202
13701000	20	297	225336	-3356110
13711000	18	297	207180	-3352297
13721000	19	296	220575	-3361429
13731000	20	297	224220	-3348822
13741000	19	299	213742	-3328215
13751000	20	297	222052	-3352586
13761000	18	299	203244	-3331180
13771000	20	297	228750	-3346265
13781000	20	299	218159	-3325689
13791000	20	297	228662	-3352971
13801000	18	299	200883	-3327681
13811000	18	299	199107	-3331074
13821000	19	298	214721	-3340069
13831000	18	299	196087	-3333406
13841000	17	299	190006	-3334741
13851000	21	300	234658	-3318113
13861000	17	302	181204	-3301790
13871000	18	301	199955	-3309069
13881000	18	301	195952	-3310935
13891000	15	302	161189	-3301143
13901000	17	300	190676	-3318910
13911000	17	300	187369	-3319652
13921000	20	302	214264	-3294539
13931000	16	304	175803	-3285052
13941000	18	304	193270	-3278094
13951000	17	305	177947	-3273283
13961000	18	304	193869	-3281844
13971000	16	304	177217	-3277742
13981000	14	303	148602	-3289958
13991000	14	305	151525	-3273303
14001000	11	306	118021	-3262402
14011000	14	304	146431	-3280400
14021000	14	306	148371	-3266339
14031000	11	307	115133	-3256354
14041000	11	306	112254	-3259617
14051000	14	306	149163	-3260521
14061000	13	306	143436	-3263433
14071000	14	307	144780	-3249111
14081000	12	308	127045	-3244419
14091000	14	308	142203	-3237422
14101000	12	310	126638	-3216332
14111000	12	310	125766	-3220101
14121000	13	307	135527	-3246875
14131000	14	310	149283	-3217932
14141000	14	314	141042	-3180931
14151000	10	312	106874	-3204899
14161000	10	314	98556	-3185550
14171000	11	316	113727	-3158117
14181000	16	315	160143	-3164256
14191000	14	316	139478	-3159780
14201000	14	316	140396	-3163069
14211000	15	317	145959	-3151751
14221000	13	315	134884	-3169240
14231000	15	319	147572	-3125324
14241000	14	321	137027	-3107891
14251000	15	320	149060	-3117894
14261000	11	320	108377	-3121025
14271000	15	321	146254	-3106914
14281000	13	321	130272	-3105236
14291000	14	323	135466	-3093449
14301000	12	323	117807	-3088961
14311000	12	325	116516	-3075066
14321000	14	325	134605	-3070256
14331000	15	326	139777	-3059501
14341000	14	326	136138	-3061697
14351000	11	327	100871	-3050595
14361000	14	327	133980	-3052168
14371000	13	327	121319	-3049508
14381000	18	328	170862	-3040758
14391000	16	327	145316	-3049219
14401000	14	331	124521	-3012640
14411000	12	330	114001	-3027766
14421000	13	329	123826	-3036338
14431000	10	330	93459	-3026147
14441000	13	328	117320	-3040413
14451000	12	332	112037	-3007744
14461000	9	330	86972	-3031867
14471000	12	332	108670	-3012366
14481000	13	330	120336	-3022180
14491000	13	334	118364	-2992136
