Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
1.03030000E+7	1.71947640E+2	
1.03040000E+7	1.71678029E+2	
1.03050000E+7	1.71927776E+2	
1.03060000E+7	1.72053075E+2	
1.03070000E+7	1.71839714E+2	
1.03080000E+7	1.71922926E+2	
1.03090000E+7	1.71966206E+2	
1.03100000E+7	1.72090461E+2	
1.03110000E+7	1.71854088E+2	
1.03120000E+7	1.71952493E+2	
1.03130000E+7	1.72127838E+2	
1.03140000E+7	1.72100791E+2	
1.03150000E+7	1.72359187E+2	
1.03160000E+7	1.72198203E+2	
1.03170000E+7	1.72062241E+2	
1.03180000E+7	1.72272027E+2	
1.03190000E+7	1.72463122E+2	
1.03200000E+7	1.72231405E+2	
1.03210000E+7	1.72225406E+2	
1.03220000E+7	1.72126067E+2	
1.03230000E+7	1.72235661E+2	
1.03240000E+7	1.72302716E+2	
1.03250000E+7	1.72382332E+2	
1.03260000E+7	1.72503075E+2	
1.03270000E+7	1.72314464E+2	
1.03280000E+7	1.72408046E+2	
1.03290000E+7	1.72407798E+2	
1.03300000E+7	1.72515712E+2	
1.03310000E+7	1.72193148E+2	
1.03320000E+7	1.72541589E+2	
1.03330000E+7	1.72485675E+2	
1.03340000E+7	1.72206590E+2	
1.03350000E+7	1.72374603E+2	
1.03360000E+7	1.72721488E+2	
1.03370000E+7	1.72338324E+2	
1.03380000E+7	1.72579377E+2	
1.03390000E+7	1.72521138E+2	
1.03400000E+7	1.72532242E+2	
1.03410000E+7	1.72649780E+2	
1.03420000E+7	1.72589994E+2	
1.03430000E+7	1.72802917E+2	
1.03440000E+7	1.72618519E+2	
1.03450000E+7	1.72688057E+2	
1.03460000E+7	1.72779010E+2	
1.03470000E+7	1.72675487E+2	
1.03480000E+7	1.72640121E+2	
1.03490000E+7	1.72853259E+2	
1.03500000E+7	1.72844708E+2	
1.03510000E+7	1.72677635E+2	
1.03520000E+7	1.73005568E+2	
1.03530000E+7	1.72750542E+2	
1.03540000E+7	1.72931324E+2	
1.03550000E+7	1.72772587E+2	
1.03560000E+7	1.72830970E+2	
1.03570000E+7	1.72657225E+2	
1.03580000E+7	1.72744562E+2	
1.03590000E+7	1.72724392E+2	
1.03600000E+7	1.72935456E+2	
1.03610000E+7	1.72719137E+2	
1.03620000E+7	1.72945691E+2	
1.03630000E+7	1.72794715E+2	
1.03640000E+7	1.72784080E+2	
1.03650000E+7	1.73215998E+2	
1.03660000E+7	1.72932632E+2	
1.03670000E+7	1.73026143E+2	
1.03680000E+7	1.73073855E+2	
1.03690000E+7	1.73050287E+2	
1.03700000E+7	1.73131769E+2	
1.03710000E+7	1.73216599E+2	
1.03720000E+7	1.73107039E+2	
1.03730000E+7	1.73032392E+2	
1.03740000E+7	1.72927901E+2	
1.03750000E+7	1.73057461E+2	
1.03760000E+7	1.73143956E+2	
1.03770000E+7	1.73323573E+2	
1.03780000E+7	1.73155894E+2	
1.03790000E+7	1.73121655E+2	
1.03800000E+7	1.73334214E+2	
1.03810000E+7	1.73162258E+2	
1.03820000E+7	1.73231630E+2	
1.03830000E+7	1.73177626E+2	
1.03840000E+7	1.73410932E+2	
1.03850000E+7	1.73360118E+2	
1.03860000E+7	1.73335982E+2	
1.03870000E+7	1.73413767E+2	
1.03880000E+7	1.73378946E+2	
1.03890000E+7	1.73672140E+2	
1.03900000E+7	1.73456153E+2	
1.03910000E+7	1.73410657E+2	
1.03920000E+7	1.73658820E+2	
1.03930000E+7	1.73670956E+2	
1.03940000E+7	1.73650442E+2	
1.03950000E+7	1.73620895E+2	
1.03960000E+7	1.73389954E+2	
1.03970000E+7	1.73652947E+2	
1.03980000E+7	1.73597509E+2	
1.03990000E+7	1.73696526E+2	
1.04000000E+7	1.73590803E+2	
1.04010000E+7	1.73630839E+2	
1.04020000E+7	1.73533992E+2	
1.04030000E+7	1.73327971E+2	
1.04040000E+7	1.73705680E+2	
1.04050000E+7	1.73614416E+2	
1.04060000E+7	1.73740827E+2	
1.04070000E+7	1.73688777E+2	
1.04080000E+7	1.73780306E+2	
1.04090000E+7	1.73701264E+2	
1.04100000E+7	1.73722582E+2	
1.04110000E+7	1.73757637E+2	
1.04120000E+7	1.73741496E+2	
1.04130000E+7	1.73781379E+2	
1.04140000E+7	1.73861160E+2	
1.04150000E+7	1.73749510E+2	
1.04160000E+7	1.73965512E+2	
1.04170000E+7	1.74049084E+2	
1.04180000E+7	1.74014621E+2	
1.04190000E+7	1.73890287E+2	
1.04200000E+7	1.73769561E+2	
1.04210000E+7	1.73692628E+2	
1.04220000E+7	1.74024689E+2	
1.04230000E+7	1.73958388E+2	
1.04240000E+7	1.73905610E+2	
1.04250000E+7	1.73888454E+2	
1.04260000E+7	1.74058949E+2	
1.04270000E+7	1.74169000E+2	
1.04280000E+7	1.73879855E+2	
1.04290000E+7	1.74256506E+2	
1.04300000E+7	1.74246525E+2	
1.04310000E+7	1.74047255E+2	
1.04320000E+7	1.74011060E+2	
1.04330000E+7	1.74000239E+2	
1.04340000E+7	1.74233174E+2	
