f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
15341000	14	216	305853	-4607066
15351000	16	220	324739	-4513678
15361000	19	221	378519	-4500689
15371000	17	221	350795	-4500082
15381000	21	221	423778	-4487795
15391000	18	223	363622	-4447787
15401000	18	225	356281	-4420508
15411000	18	225	363080	-4420637
15421000	18	224	361866	-4425036
15431000	18	226	355446	-4404176
15441000	19	226	369276	-4387072
15451000	10	232	193276	-4298801
15461000	20	226	379316	-4388135
15471000	17	229	315812	-4342818
15481000	17	227	329343	-4388462
15491000	18	229	348157	-4334435
15501000	20	228	381980	-4349993
15511000	18	228	344920	-4349357
15521000	17	229	326107	-4349669
15531000	17	228	316993	-4355212
15541000	13	231	239398	-4306596
15551000	17	229	331360	-4342582
15561000	16	231	296371	-4305235
15571000	17	230	319033	-4319787
15581000	15	231	287906	-4318520
15591000	15	230	287429	-4325913
15601000	15	232	277056	-4296378
15611000	14	230	254984	-4331344
15621000	14	231	269054	-4308469
15631000	14	235	261291	-4245441
15641000	14	231	261855	-4314066
15651000	17	231	323054	-4310586
15661000	11	233	202437	-4275287
15671000	16	235	283074	-4242075
15681000	15	235	266717	-4245764
15691000	14	235	247775	-4246540
15701000	13	236	228846	-4216452
15711000	12	235	221363	-4248657
15721000	12	236	220906	-4225240
15731000	12	234	225190	-4266271
15741000	12	236	208593	-4234258
15751000	14	236	247265	-4221678
15761000	12	234	225007	-4253683
15771000	13	237	228725	-4199700
15781000	10	236	182209	-4220513
15791000	11	238	201300	-4192498
15801000	10	238	172660	-4186325
15811000	11	238	189560	-4200227
15821000	12	237	217722	-4216398
15831000	12	236	220388	-4219832
15841000	10	243	164299	-4112538
15851000	11	240	190299	-4160396
15861000	8	239	140952	-4180854
15871000	7	239	117492	-4177080
15881000	10	241	171616	-4134015
15891000	15	244	248975	-4075553
15901000	10	242	170211	-4120795
15911000	11	241	196414	-4133323
15921000	10	244	176188	-4097497
15931000	13	242	217069	-4120208
15941000	10	247	158246	-4047439
15951000	11	244	177603	-4088473
15961000	9	247	139983	-4046877
15971000	9	248	142459	-4023157
15981000	12	248	193399	-4019556
15991000	10	249	160751	-4015397
16001000	9	250	150077	-3988709
16011000	12	249	193987	-4009879
16021000	9	254	138470	-3938082
16031000	13	255	203842	-3912891
16041000	11	252	164718	-3956327
16051000	7	257	109210	-3882432
16061000	10	256	145521	-3905170
16071000	13	256	198672	-3900711
16081000	14	257	206618	-3877304
16091000	10	259	154848	-3861920
16101000	13	259	192204	-3853701
16111000	13	260	184748	-3832770
16121000	9	264	127313	-3782741
16131000	11	263	158101	-3796138
16141000	13	265	189443	-3760458
16151000	10	263	145770	-3803250
16161000	11	264	154190	-3788270
16171000	12	265	164107	-3768551
16181000	11	263	161423	-3798201
16191000	9	269	129214	-3717628
16201000	10	264	136908	-3777328
16211000	8	263	110472	-3796106
16221000	7	267	98714	-3743389
16231000	10	269	131404	-3709150
16241000	13	269	181579	-3705016
16251000	12	267	173068	-3730581
16261000	12	267	161857	-3732208
16271000	11	269	153997	-3709718
16281000	10	271	136693	-3681063
16291000	12	270	163885	-3695411
16301000	10	271	140669	-3689094
16311000	8	271	110655	-3682843
16321000	9	274	121938	-3644301
16331000	12	275	157200	-3627653
16341000	10	272	140971	-3671720
16351000	12	275	157677	-3635296
16361000	7	274	99482	-3645373
16371000	11	277	140853	-3610996
16381000	9	281	115916	-3556785
16391000	12	281	156166	-3550596
16401000	8	282	105700	-3537346
16411000	11	279	142113	-3574809
16421000	11	283	136905	-3528619
16431000	11	285	131123	-3509143
16441000	13	285	159490	-3501766
16451000	13	285	158785	-3504358
16461000	11	287	137776	-3475950
16471000	12	289	139485	-3456234
16481000	12	294	133111	-3396208
16491000	12	290	139686	-3445748
16501000	12	290	140574	-3447132
16511000	15	294	176241	-3397881
